npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan,desa_kelurahan_nama,,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20219208,SMP ADVENT CIMINDI,SMP,SMP / sederajat,Jl. Raya Cimindi No. 74,5,4,,CAMPAKA,Campaka,Kec. Andir,-6.9497,107.6031,Tidak ada,Tidak Aktif,Yayasan
20219369,SMP YKPPK,SMP,SMP / sederajat,Jl. Cihampelas Blk No. 14 Bandung,7,18,,Tamansari,Taman Sari,Kec. Bandung Wetan,-6.9058,107.6051,Tidak ada,Tidak Aktif,Yayasan
20219499,SMP NUSANTARA RAYA,SMP,SMP / sederajat,Jl.antapani No.28,3,3,,CICAHEUM,Cicaheum,Kec. Kiaracondong,-6.9027,107.6574,Tidak ada,Tidak Aktif,Yayasan
20219187,SMP ASSALAAM,SMP,SMP / sederajat,Jl. Sasakgantung No. 12-14,8,5,,Balong Gede,Balong Gede,Kec. Regol,-6.9269,107.6071,Tidak ada,Tidak Aktif,Yayasan
20219205,SMP BPMD TARUNA,SMP,SMP / sederajat,Jl. Hasan Ali No. 64,1,3,Dunguscariang,DUNGUSCARIANG,Dungus Cariang,Kec. Andir,-6.9154,107.5779,Tidak ada,Tidak Aktif,Yayasan
20219476,SMP PGRI 1,SMP,SMP / sederajat,Jl. Centeh No.5,7,10,,SAMOJA,Samoja,Kec. Batununggal,-6.928,107.6252,Tidak ada,Tidak Aktif,Lainnya
20219347,SMP NEGERI 2,SMP,SMP / sederajat,Jl. Sumatera No.42,3,1,,Merdeka,Merdeka,Kec. Sumur Bandung,-6.9139,107.6138,Tidak ada,Aktif,Pemerintah Daerah
20219463,SMP KRISTEN 4 BPK PENABUR,SMP,SMP / sederajat,Jl. Guntur No.34,0,0,,MALABAR,Malabar,Kec. Lengkong,-6.9081,107.5809,Tidak ada,Tidak Aktif,Yayasan
20219389,SMP NEGERI 52,SMP,SMP / sederajat,Jl. Bukit Raya Ciumbuleuit,8,3,,Ciumbuleuit,Ciumbuleuit,Kec. Cidadap,-6.8607,107.6065,Tidak ada,Aktif,Pemerintah Daerah
20219406,SMP NEGERI 28,SMP,SMP / sederajat,Jl. Solontongan II Buahbatu,6,1,,Turangga,Turangga,Kec. Lengkong,-6.9417,107.6288,Tidak ada,Aktif,Pemerintah Pusat
20219196,SMP BPK PENABUR HOLIS,SMP,SMP / sederajat,Kompleks Taman Holis Indah Blok A,0,0,,cigondewah kidul,Cigondewah Kidul,Kec. Bandung Kulon,-6.9387,107.5729,Tidak ada,Tidak Aktif,Yayasan
20219396,SMP NEGERI 8,SMP,SMP / sederajat,Jl. ALUN-ALUN UTARA NO.211B UJUNGBERUNG,1,8,,Cigending,Cigending,Kec. Ujungberung,-6.913,107.7018,Tidak ada,Aktif,Pemerintah Daerah
20219498,SMP PASUNDAN 7,SMP,SMP / sederajat,Jl. Cijerah Gg. Pelita No. 11,6,2,Cijerah,Cijerah,Cijerah,Kec. Bandung Kulon,-6.9159,107.5694,Tidak ada,Tidak Aktif,Yayasan
